run,t0,t1,vSet1,vSet2,vSet3,vSetMin1,vSetMin2,vSetMin3,vSetMax1,vSetMax2,vSetMax3,td1,td2,td3,td,tdCalc1,tdCalc2,tdCalc3,tdCalc,vCalib1,vCalib2,vCalib3,vCalib
426,6/7/17 20:00,6/7/17 20:32,5.28,3.935034166,5.51,5.28,3.8,5.51,5.28,4.3,5.51,28.79,39.75,37.81,106.35,20.53505896,0,0,20.53505896,33.38003862,45.362691,45.19953424,123.9422639
427,6/7/17 20:33,6/7/17 21:09,5.711307628,4.527883636,5.715719385,5.5,4,5.51,5.9,4.7,5.9,28.79,39.75,37.81,106.35,20.53505896,0,0,20.53505896,31.73801198,50.47333647,45.86483542,128.0761839
428,6/7/17 21:09,6/7/17 21:45,2.108776159,4.353266749,5.948899832,1.5,4,5.9,2.5,4.8,6,28.79,39.75,37.81,106.35,20.53505896,0,0,20.53505896,23.18298064,48.99314854,46.55563663,118.7317658
429,6/7/17 21:45,6/7/17 22:21,3.322746523,4.435890918,6.261373261,3,4.2,6.1,3.6,4.6,6.4,28.79,39.75,37.81,106.35,20.53505896,0,0,20.53505896,32.37924771,49.69589669,47.38554365,129.460688
430,6/7/17 22:23,6/7/17 22:48,4,4.056236266,6.6,4,3.5,6.6,4,4.8,6.6,28.79,39.75,37.81,106.35,20.53505896,0,0,20.53505896,34.46561697,46.42826708,48.17574964,129.0696337
431,6/7/17 22:49,6/7/17 23:24,3.769910796,3.969815592,6.6,1.8,3,6.6,4.8,4.4,6.6,28.79,39.75,37.81,106.35,20.53505896,0,0,20.53505896,33.98141614,45.6696814,48.17574964,127.8268472
432,6/7/17 23:25,6/8/17 0:01,3.515943004,3.96261032,6.6,3.2,3,6.6,3.8,4.6,6.6,28.79,39.75,37.81,106.35,20.53505896,0,0,20.53505896,33.18134568,45.60616634,48.17574964,126.9632617
433,6/8/17 0:01,6/8/17 0:37,3.019865852,4.134859539,6.6,1.4,2.5,6.6,4.4,4.5,6.6,28.79,39.75,37.81,106.35,20.53505896,0,0,20.53505896,30.77215139,47.11339178,48.17574964,126.0612928
434,6/8/17 0:37,6/8/17 1:13,3.560806292,3.519799001,6.6,2.4,3,6.6,4.4,4.2,6.6,28.79,39.75,37.81,106.35,20.53505896,0,0,20.53505896,33.34342693,41.61643815,48.17574964,123.1356147
435,6/8/17 1:13,6/8/17 1:49,2.74917719,4.064220919,6.6,2.4,3.8,6.6,4.4,4.6,6.6,28.79,39.75,37.81,106.35,20.53505896,0,0,20.53505896,28.96073186,46.49806006,48.17574964,123.6345416
