run_number,step 1 HV,step 2 HV,scrapping,note,,,,
1,11,15,-1,,,,note:,
2,11,15,-1,,,,,"A. -1 stands for ""not sure"""
3,11,15,-1,,,,,"B. y stands for ""yes"""
4,11,15,-1,,,,,"C. n stands for ""no"""
5,11,15,-1,,,,,
6,11,15,-1,,,,,
7,11,15,-1,,,,,
8,11,15,-1,,,,,
9,11,15,-1,,,,,
10,11,15,-1,,,,,
11,11,15,-1,,,,,
12,11,15,-1,,,,,
13,11,15,-1,,,,,
14,11,15,-1,,,,,
15,11,15,-1,,,,,
16,11,15,-1,,,,,
17,11,15,-1,,,,,
18,11,15,-1,,,,,
19,11,15,-1,,,,,
20,11,15,-1,,,,,
21,11,15,-1,,,,,
22,11,15,-1,,,,,
23,11,15,-1,,,,,
24,11,15,-1,,,,,
25,11,15,-1,,,,,
26,11,15,-1,,,,,
27,11,15,-1,,,,,
28,11,15,-1,,,,,
29,11,15,-1,,,,,
30,11,15,-1,,,,,
31,11,15,-1,,,,,
32,11,15,-1,,,,,
33,11,15,-1,,,,,
34,11,15,-1,,,,,
35,11,15,-1,,,,,
36,11,15,-1,,,,,
37,11,15,-1,,,,,
38,11,15,-1,,,,,
39,11,15,-1,,,,,
40,11,15,-1,,,,,
41,11,15,-1,,,,,
42,11,15,-1,,,,,
43,11,15,-1,,,,,
44,11,15,-1,,,,,
45,11,15,-1,,,,,
46,11,15,-1,,,,,
47,11,15,-1,,,,,
48,11,15,-1,elog7084,,,,
49,7,10,-1,,,,,
50,7,10,-1,,,,,
51,7,10,-1,,,,,
52,7,10,-1,,,,,
53,7,10,-1,,,,,
54,7,10,-1,,,,,
55,7,10,-1,,,,,
56,7,10,-1,,,,,
57,7,10,-1,,,,,
58,7,10,-1,,,,,
59,11,15,-1,elog7114,,,,
60,11,15,-1,,,,,
61,11,15,-1,,,,,
62,11,15,-1,,,,,
63,11,15,-1,,,,,
64,11,15,-1,,,,,
65,11,15,-1,,,,,
66,11,15,-1,,,,,
67,11,15,-1,,,,,
68,11,15,-1,,,,,
69,11,15,-1,,,,,
70,11,15,-1,,,,,
71,11,15,-1,,,,,
72,11,15,-1,,,,,
73,11,15,-1,,,,,
74,11,15,-1,,,,,
75,11,15,-1,,,,,
76,11,15,-1,,,,,
77,11,15,-1,,,,,
78,11,15,-1,,,,,
79,11,15,-1,,,,,
80,11,15,-1,,,,,
81,11,15,-1,,,,,
82,11,15,-1,,,,,
83,11,15,-1,,,,,
84,11,15,-1,,,,,
85,11,15,-1,,,,,
86,11,15,-1,,,,,
87,11,15,-1,,,,,
88,11,15,-1,,,,,
89,11,15,-1,,,,,
90,11,15,-1,,,,,
91,11,15,-1,,,,,
92,11,15,-1,,,,,
93,11,15,-1,,,,,
94,11,15,-1,,,,,
95,11,15,-1,,,,,
96,11,15,-1,,,,,
97,11,15,-1,,,,,
98,11,15,-1,,,,,
99,11,15,-1,,,,,
100,11,15,-1,,,,,
101,11,15,-1,,,,,
102,11,15,-1,,,,,
103,11,15,-1,,,,,
104,11,15,-1,,,,,
105,11,15,-1,elog7156,,,,
106,7,10,-1,,,,,
107,7,10,-1,,,,,
108,7,10,-1,,,,,
109,7,10,-1,,,,,
110,7,10,-1,,,,,
111,7,10,-1,,,,,
112,7,10,-1,,,,,
113,7,10,-1,,,,,
114,7,10,-1,,,,,
115,7,10,-1,,,,,
116,7,10,-1,,,,,
117,7,10,-1,,,,,
118,11,15,-1,elog7209,,,,
119,11,15,-1,,,,,
120,11,15,-1,,,,,
121,11,15,-1,,,,,
122,11,15,-1,,,,,
123,11,15,-1,,,,,
124,11,15,-1,,,,,
125,11,15,-1,,,,,
126,11,15,-1,,,,,
127,11,15,-1,,,,,
128,11,15,-1,,,,,
129,11,15,-1,,,,,
130,11,15,-1,,,,,
131,11,15,-1,,,,,
132,11,15,-1,,,,,
133,11,15,-1,,,,,
134,11,15,-1,,,,,
135,11,15,-1,,,,,
136,11,15,-1,,,,,
137,11,15,-1,,,,,
138,11,15,-1,,,,,
139,11,15,-1,,,,,
140,11,15,-1,,,,,
141,11,15,-1,,,,,
142,11,15,-1,,,,,
143,11,15,-1,,,,,
144,11,15,-1,,,,,
145,11,15,-1,,,,,
146,11,15,-1,,,,,
147,11,15,-1,,,,,
148,11,15,-1,,,,,
149,11,15,-1,,,,,
150,11,15,-1,elog7292,,,,
151,11,15,-1,,,,,
152,11,15,-1,,,,,
153,11,15,-1,,,,,
154,11,15,-1,,,,,
155,0,0,-1,elog7308 and elog7310,,,,
156,0,0,-1,,,,,
157,0,0,-1,,,,,
158,0,0,-1,,,,,
159,0,0,-1,,,,,
160,0,0,-1,,,,,
161,0,0,-1,,,,,
162,0,0,-1,,,,,
163,0,0,-1,,,,,
164,0,0,-1,runLog 164,,,,
165,0,0,-1,runLog 165,,,,
166,0,0,-1,runLog 166,,,,
167,0,0,-1,runLog 167,,,,
168,0,0,-1,runLog 168,,,,
169,0,0,-1,runLog 169,,,,
170,0,0,-1,runLog 170,,,,
171,0,0,-1,runLog 171,,,,
172,0,0,-1,runLog 172,,,,
173,0,0,-1,runLog 173,,,,
174,0,0,-1,runLog 174,,,,
175,0,0,-1,runLog 175,,,,
176,0,0,-1,runLog 176,,,,
177,0,0,-1,runLog 177,,,,
178,0,0,-1,runLog 178,,,,
