runnum launchtime launch gpuCTag positrons calo12ratio
0 -1 -1 -1 -1 -1
1 -1 -1 -1 -1 -nan
2 -1 -1 -1 -1 -nan
3 -1 -1 -1 -1 -nan
4 -1 -1 -1 -1 0
5 -1 -1 -1 -1 -1
6 -1 -1 -1 -1 -nan
7 -1 -1 -1 -1 -nan
8 -1 -1 -1 -1 -nan
9 -1 -1 -1 -1 -nan
10 -1 -1 -1 -1 -nan
11 -1 -1 -1 -1 -nan
12 -1 -1 -1 -1 -nan
13 -1 -1 -1 -1 -nan
14 -1 -1 -1 -1 -nan
15 -1 -1 -1 -1 -nan
16 -1 -1 -1 -1 -nan
17 -1 -1 -1 -1 -nan
18 -1 -1 -1 -1 -nan
19 -1 -1 -1 -1 -nan
20 -1 -1 -1 -1 -1
21 -1 -1 -1 -1 -nan
22 -1 -1 -1 -1 -nan
23 -1 -1 -1 -1 0
24 -1 -1 -1 -1 -1
25 -1 -1 -1 -1 -1
26 -1 -1 -1 -1 -nan
27 -1 -1 -1 -1 -1
28 -1 -1 -1 -1 -nan
29 -1 -1 -1 -1 -1
30 -1 -1 -1 -1 -nan
31 -1 -1 -1 -1 -nan
32 -1 -1 -1 -1 0
33 -1 -1 -1 -1 -1
34 -1 -1 -1 -1 0
35 -1 -1 -1 -1 0
36 -1 -1 -1 -1 0
37 -1 -1 -1 -1 -nan
38 -1 -1 -1 -1 0
39 -1 -1 -1 -1 -nan
40 -1 -1 -1 -1 0
41 -1 -1 -1 -1 0
42 -1 -1 -1 -1 0
43 -1 -1 -1 -1 -nan
44 -1 -1 -1 -1 -nan
45 -1 -1 -1 -1 -nan
46 -1 -1 -1 -1 0
47 -1 -1 -1 -1 -nan
48 -1 -1 -1 -1 -1
49 -1 -1 -1 -1 -1
50 -1 -1 -1 -1 -nan
51 -1 -1 -1 -1 -nan
52 -1 -1 -1 -1 -nan
53 -1 -1 -1 -1 -nan
54 -1 -1 -1 -1 -nan
55 -1 -1 -1 -1 -nan
56 -1 -1 -1 -1 -nan
57 -1 -1 -1 -1 -1
58 -1 -1 -1 -1 -nan
59 -1 -1 -1 -1 -nan
60 -1 -1 -1 -1 -nan
61 -1 -1 -1 -1 -nan
62 -1 -1 -1 -1 -1
63 -1 -1 -1 -1 -1
64 -1 -1 -1 -1 -nan
65 -1 -1 -1 -1 -nan
66 -1 -1 -1 -1 -nan
67 -1 -1 -1 -1 -nan
68 -1 -1 -1 -1 -1
69 -1 -1 -1 -1 -1
70 -1 -1 -1 -1 -1
71 -1 -1 -1 -1 -1
72 -1 -1 -1 -1 -1
73 -1 -1 -1 -1 -1
74 -1 -1 -1 -1 -nan
75 -1 -1 -1 -1 -nan
76 -1 -1 -1 -1 -1
77 -1 -1 -1 -1 -1
78 -1 -1 -1 -1 -nan
79 -1 -1 -1 -1 -nan
80 -1 -1 -1 -1 -1
81 -1 -1 -1 -1 -nan
82 -1 -1 -1 -1 -nan
83 -1 -1 -1 -1 -nan
84 -1 -1 -1 -1 -nan
85 -1 -1 -1 -1 -nan
86 -1 -1 -1 -1 -nan
87 -1 -1 -1 -1 -1
88 -1 -1 -1 -1 -1
89 -1 -1 -1 -1 -nan
90 -1 -1 -1 -1 -1
91 -1 -1 -1 -1 -1
92 -1 -1 -1 -1 -1
93 -1 -1 -1 -1 -nan
94 -1 -1 -1 -1 -nan
95 -1 -1 -1 -1 -nan
96 -1 -1 -1 -1 -nan
97 -1 -1 -1 -1 -nan
98 -1 -1 -1 -1 -1
99 -1 -1 -1 -1 -1
100 -1 -1 -1 -1 -1
101 -1 -1 332 -1 -nan
102 -1 -1 294 -1 0
103 -1 -1 142 -1 -nan
104 -1 -1 399 -1 -nan
105 -1 -1 255 -1 -nan
106 -1 -1 271 -1 -nan
107 -1 -1 254 -1 -nan
108 -1 -1 839 -1 0
109 -1 -1 87 -1 -nan
110 -1 -1 90 -1 -nan
111 -1 -1 80 -1 -nan
112 -1 -1 246 -1 -nan
113 -1 -1 8 -1 -nan
114 -1 -1 0 -1 -nan
115 -1 -1 90 -1 -nan
116 -1 -1 0 -1 -nan
117 -1 -1 0 -1 -nan
118 -1 -1 267 -1 -nan
119 -1 -1 185 -1 -nan
120 -1 -1 258 -1 -nan
121 -1 -1 272 -1 -nan
122 -1 -1 0 -1 -nan
123 -1 -1 250 -1 -nan
124 -1 -1 -1 -1 -1
125 -1 -1 -1 -1 -1
126 -1 -1 268 -1 -nan
127 -1 -1 259 -1 -nan
128 -1 -1 253 -1 0
129 -1 -1 254 -1 -nan
130 -1 -1 222 -1 0
131 -1 -1 251 -1 -nan
132 -1 -1 257 -1 -nan
133 -1 -1 257 -1 -nan
134 -1 -1 0 -1 -nan
135 -1 -1 298 -1 -nan
136 -1 -1 86 -1 -nan
137 -1 -1 168 -1 -nan
138 -1 -1 255 -1 -nan
139 -1 -1 254 -1 -nan
140 -1 -1 258 -1 -nan
141 -1 -1 0 -1 -nan
142 -1 -1 0 -1 -nan
143 -1 -1 -1 -1 -1
144 -1 -1 0 -1 -nan
145 -1 -1 -1 -1 -1
146 -1 -1 -1 -1 -1
147 -1 -1 0 -1 -nan
148 -1 -1 0 -1 -nan
149 -1 -1 -1 -1 -1
150 -1 -1 0 -1 -nan
151 -1 -1 169 -1 -nan
152 -1 -1 80 -1 -nan
153 -1 -1 87 -1 -nan
154 -1 -1 73 -1 -nan
155 -1 -1 86 -1 -nan
156 -1 -1 75 -1 -nan
157 -1 -1 88 -1 -nan
158 -1 -1 74 -1 0
159 -1 -1 64 -1 0
160 -1 -1 0 -1 -nan
161 -1 -1 0 -1 -nan
162 -1 -1 0 -1 -nan
163 -1 -1 0 -1 -nan
164 -1 -1 158 -1 -nan
165 -1 -1 234 -1 -nan
166 -1 -1 235 -1 -nan
167 -1 -1 -1 -1 -1
168 -1 -1 -1 -1 -1
169 -1 -1 -1 -1 -1
170 -1 -1 -1 -1 -1
171 -1 -1 -1 -1 -1
172 -1 -1 -1 -1 -1
173 -1 -1 254 -1 -nan
174 -1 -1 245 -1 -nan
175 -1 -1 -1 -1 -1
176 -1 -1 82 -1 -nan
177 -1 -1 -1 -1 -1
178 -1 -1 -1 -1 -1
179 -1 -1 166 -1 -nan
180 -1 -1 175 -1 -nan
181 -1 -1 0 -1 -nan
